Serial # of the imaged chromosome,ID # of the imaged TAD,x(um),y(um),z(um)
15,13,22.554855,18.736101,1.540117
15,14,23.083584,18.176851,1.546158
15,15,,,
15,16,23.306767,18.249257,2.558497
15,17,23.142427,17.479593,2.622183
15,18,23.27276,16.941217,2.593911
15,19,22.575969,17.479566,1.817836
15,20,22.516841,17.945874,1.140112
15,21,23.390616,18.092016,2.224094
15,22,22.980981,17.728354,2.41614
15,23,23.531982,17.999977,2.075338
15,24,23.41003,17.326527,1.648422
15,25,22.719778,17.158912,2.230164
15,26,22.845944,17.070415,2.059848
15,27,23.198023,17.042402,1.590848
15,28,22.740881,18.417132,2.439368
15,29,23.307061,18.810288,2.697709
15,30,22.820743,18.445926,2.83906
15,31,22.010372,18.254756,2.532555
15,32,21.50484,18.803054,2.646234
15,33,21.1066,18.995378,2.785056
15,34,21.648601,19.675107,3.067322
15,35,22.152443,17.334931,2.147567
15,36,22.366724,18.689781,2.785568
15,37,22.040572,18.32063,3.06062
15,38,23.365425,19.213559,2.007805
15,39,22.380112,18.860344,2.650616
15,40,22.886082,18.156015,2.360772
16,1,26.069631,18.648492,1.492145
16,2,26.278511,19.060219,1.794294
16,3,26.917087,18.509516,1.352552
16,4,26.959316,18.679897,1.956365
16,5,26.947627,18.353203,1.262943
16,6,27.485755,18.425865,1.720153
16,7,27.243838,18.849374,1.064838
16,8,27.878327,18.20367,1.358201
16,9,27.459572,17.934932,1.354196
16,10,27.951727,18.004467,1.32357
16,11,26.754367,18.070688,1.264284
16,12,26.804256,17.50044,0.801233
16,13,26.354387,18.949968,1.037558
16,14,25.645011,19.11977,1.589405
16,15,26.762575,19.254787,1.335206
16,16,26.986176,18.588982,1.023336
16,17,26.042935,18.437413,0.83681
16,18,26.02864,16.868393,0.801522
16,19,25.219996,17.230133,0.776981
16,20,25.938612,17.743723,0.884799
16,21,26.030048,18.403806,0.844188
16,22,25.213533,16.635776,1.261502
16,23,24.923412,17.259857,0.729586
16,24,27.329457,17.770906,1.721747
16,25,25.551137,16.193758,0.949874
16,26,25.508728,16.709019,1.455521
16,27,25.760289,18.297042,1.331988
16,28,26.741524,17.524797,1.123388
16,29,27.412653,17.737579,0.705248
16,30,28.05893,17.036726,0.991866
16,31,27.326691,16.889845,1.19172
16,32,27.347124,16.317077,1.116159
16,33,27.502139,16.459311,1.096563
16,34,28.24967,15.819728,1.545404
16,35,28.159745,16.564389,1.307127
16,36,27.763347,15.933868,0.949771
16,37,27.954336,15.702306,0.98263
16,38,27.088187,15.99442,0.85516
16,39,26.236263,16.386376,0.734487
16,40,26.465813,16.538571,1.123556
17,1,28.369685,25.107457,1.413204
17,2,28.612441,26.250706,0.813868
17,3,27.80404,23.897089,0.731588
17,4,29.477958,26.708316,1.064696
17,5,29.974519,27.279697,1.40831
17,6,28.80323,27.357855,0.932339
17,7,27.885041,26.116611,2.544258
17,8,26.876463,26.318846,2.468969
17,9,28.111644,26.50881,2.098161
17,10,27.549759,26.234095,2.100443
17,11,27.968984,26.431296,1.856838
17,12,28.185129,25.991463,1.798896
17,13,28.71949,25.527535,1.887057
17,14,28.288665,25.392706,2.484303
17,15,27.45563,25.724048,2.738738
17,16,,,
17,17,28.024957,25.564567,2.127749
17,18,27.831806,25.813869,2.629407
17,19,27.650406,25.668517,2.397027
17,20,28.614244,25.855604,2.718731
17,21,28.530145,25.728165,2.323408
17,22,,,
17,23,28.545909,26.028218,0.932809
17,24,29.460562,25.672216,0.680521
17,25,28.809822,24.656651,0.782976
17,26,28.393344,25.154232,1.604455
17,27,29.791177,27.530878,1.933995
17,28,30.096768,26.099539,0.983883
17,29,30.134468,25.253233,1.704117
17,30,30.050249,25.513823,1.296796
17,31,27.952984,26.205285,2.036416
17,32,29.489453,26.038059,1.377152
17,33,28.52182,24.768522,1.464132
17,34,26.640286,23.727998,2.412978
17,35,29.393881,24.847518,1.978585
17,36,28.849966,24.665569,1.264421
17,37,29.307303,24.702135,1.158166
17,38,29.668434,25.183592,0.906312
17,39,30.197192,25.342511,1.289293
17,40,27.514442,26.153391,2.139511
18,1,22.201127,20.881863,1.542902
18,2,21.280475,20.963607,1.11345
18,3,21.76119,20.957023,1.442045
18,4,20.800303,21.109749,0.977174
18,5,20.764008,20.479177,1.30004
18,6,21.544528,21.458951,1.737068
18,7,21.634399,20.624963,0.816747
18,8,22.085664,21.038506,1.400798
18,9,23.087596,20.521385,1.420173
18,10,23.305898,21.193612,0.899302
18,11,22.85068,20.226597,1.437707
18,12,24.036417,18.006779,1.622695
18,13,22.268153,20.185251,0.921765
18,14,22.012292,20.300497,0.894901
18,15,22.088277,19.363434,1.129636
18,16,22.587982,19.132755,0.772652
18,17,21.185099,19.867423,1.112667
18,18,21.619171,19.955975,0.763847
18,19,22.61444,19.114869,1.038923
18,20,22.540219,19.020444,0.917462
18,21,22.853511,18.860318,1.124378
18,22,23.541755,19.382327,0.641546
18,23,23.191836,19.238659,1.132733
18,24,22.376171,19.028854,1.081629
18,25,21.943299,19.903251,1.512574
18,26,21.17141,19.656243,1.476969
18,27,21.158392,20.318739,1.397024
18,28,21.787823,19.075091,1.640422
18,29,22.320189,19.11844,1.502597
18,30,21.50346,19.789752,1.190498
18,31,21.677683,20.201294,1.53273
18,32,21.471154,19.956195,1.468018
18,33,22.000862,18.23261,1.271066
18,34,22.066695,21.013395,2.835515
18,35,22.126756,18.32049,1.907623
18,36,21.757002,17.942682,1.62249
18,37,21.286785,18.515772,1.769453
18,38,21.335399,18.418104,1.827041
18,39,22.41354,18.160567,2.350604
18,40,22.213558,18.320295,2.388925
19,1,21.839206,15.113467,1.154353
19,2,21.825079,14.554925,1.026208
19,3,22.421565,15.013198,1.331483
19,4,23.225828,15.166688,1.650795
19,5,22.100262,15.796547,1.07184
19,6,22.4141,15.540986,0.787346
19,7,23.750376,15.706585,0.794431
19,8,24.075176,15.246364,1.812159
19,9,24.295752,15.53979,1.158903
19,10,24.460852,16.531602,0.920276
19,11,24.068951,16.719114,1.272908
19,12,23.543261,17.391921,1.434272
19,13,24.65591,17.219354,1.889385
19,14,22.802677,16.122703,1.666438
19,15,22.882471,16.166648,0.710496
19,16,23.205822,16.708425,0.85546
19,17,22.748887,16.966041,0.62927
19,18,22.445827,17.341268,0.853638
19,19,22.521161,18.01588,0.770188
